subgroup,n,hr_reported,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24,boot
Codeleted,172,0.3483949722325163,0.17639026547021278,0.5463556953619442,13.66931548141187,19.227123319315425,0.3699654298917314,5.557807837903555,25
Non-codeleted,159,0.5477146445078712,0.3099848348869646,0.5265015815659072,15.410471146241475,18.57975365083691,0.2165167466789426,3.1692825045954347,25
Codeleted,172,0.2084799809996269,0.4254636319355735,0.8368068574121333,16.999894116180883,22.225385553699795,0.4113432254765598,5.225491437518912,26
Non-codeleted,159,0.43495634664657673,0.03861327234159997,0.24282409505812774,11.304774170648002,16.025126715594574,0.20421082271652777,4.7203525449465715,26
Codeleted,172,0.27866420638923517,0.41840875604701266,0.7844290269048271,16.726382116599446,21.567990444171624,0.3660202708578144,4.841608327572178,27
Non-codeleted,159,0.4025709142217868,0.049402366735520606,0.29794806499802723,11.562670424694055,16.72246037190095,0.2485456982625066,5.159789947206896,27
Codeleted,172,0.2951297737015949,0.13940206841402572,0.5590469556006367,13.129332516471457,19.49868297199299,0.41964488718661097,6.369350455521534,28
Non-codeleted,159,0.6752618049645612,0.3618861644029609,0.5034084436965381,16.094426453277386,18.16063560783481,0.14152227929357725,2.0662091545574235,28
Codeleted,172,0.24807288173760794,0.2727656040593423,0.7244937942548947,14.72762667240197,20.9979628394484,0.4517281901955524,6.270336167046432,29
Non-codeleted,159,0.5943328320401724,0.1783062631204094,0.35887536635201134,13.989432032484089,16.96848067271863,0.18056910323160194,2.9790486402345415,29
Codeleted,172,0.1950920761728924,0.42089510109131745,0.8446548367371446,17.071079100404276,22.34915861453524,0.42375973564582714,5.278079514130965,30
Non-codeleted,159,0.4333552827893836,0.03439210044946252,0.23214871411187035,11.030417588326966,15.8080184992937,0.19775661366240782,4.777600910966735,30
Codeleted,172,0.33568683287213863,0.17282363781888924,0.5547193844721444,13.630576264341514,19.344361835163177,0.3818957466532552,5.713785570821663,31
Non-codeleted,159,0.5417640840950967,0.30094688890311644,0.5217524525988537,15.193402127527543,18.473223973762572,0.22080556369573728,3.279821846235029,31
Codeleted,172,0.3944363597082018,0.19879298558682992,0.5287663547918876,13.852917282521002,18.87201260608411,0.3299733692050577,5.019095323563107,32
Non-codeleted,159,0.5696584004663616,0.3151453975883261,0.5179913795447458,15.469490640902285,18.449353905328625,0.20284598195641973,2.9798632644263403,32
Codeleted,172,0.28881261189258034,0.3804472961886847,0.7564561131806706,16.192016507310427,21.255438401943003,0.3760088169919859,5.063421894632576,33
Non-codeleted,159,0.4201704548680501,0.0721722556961715,0.3313757570661439,12.144587294485687,17.063436767068946,0.2592035013699724,4.918849472583259,33
Codeleted,172,0.4118295589566118,0.21598657226054183,0.5319823254832784,14.282012458931993,18.965818824847325,0.31599575322273654,4.683806365915332,34
Non-codeleted,159,0.4487030423609907,0.2487697427113842,0.535664019212779,14.593770430411848,18.847060680000446,0.28689427650139476,4.2532902495885985,34
Codeleted,172,0.21990690334453666,0.4474874742867404,0.8379233343302998,17.392759292134514,22.257996951812792,0.39043586004355935,4.865237659678279,35
Non-codeleted,159,0.35710448631690367,0.020641725764215333,0.2501426905949118,10.543579697582683,16.267964745040405,0.22950096483069646,5.724385047457723,35
Codeleted,172,0.24419210420093532,0.35649366711534947,0.7773463629623564,15.713678147293265,21.470213215227027,0.4208526958470069,5.756535067933761,36
Non-codeleted,159,0.5301937288007262,0.10715067120767785,0.3059914124919315,12.920126569654641,16.57357792797569,0.19884074128425366,3.6534513583210497,36
