subgroup,n,hr_reported,S24_ctrl,S24_trt,RMST24_ctrl,RMST24_trt,dS24,dRMST24,boot
Nonfrontal lobe,109,0.25581867258807733,0.12069411208284406,0.582207867275816,12.364484452640202,19.633522148003514,0.4615137551929719,7.269037695363313,9
Frontal lobe,222,0.4506974145417617,0.14741232898685525,0.4219492672706909,13.44685494610712,17.890908125132633,0.27453693828383563,4.444053179025513,10
Nonfrontal lobe,109,0.2084208177106645,0.3781952857192963,0.8165583541959692,15.988106862433355,21.91189758281314,0.43836306847667295,5.923790720379785,10
Frontal lobe,222,0.6202169490547116,0.30482636528939777,0.4786307573519315,15.707660906934606,18.215116468872154,0.17380439206253373,2.5074555619375474,11
Nonfrontal lobe,109,0.24727481345332472,0.13810893286422568,0.6129124302412802,12.255282284917948,19.77693265049369,0.4748034973770545,7.521650365575743,11
Frontal lobe,222,0.42647998147327487,0.129617335380718,0.41837763998850747,13.143395501414203,17.903243487062163,0.28876030460778945,4.75984798564796,12
Nonfrontal lobe,109,0.23190577349462657,0.42159725470219944,0.8184866717958392,16.546062129856573,21.89708023263624,0.3968894170936398,5.351018102779669,12
Frontal lobe,222,0.5303241373199036,0.27429764933481576,0.5035882328324636,15.217106709384627,18.547344078808695,0.2292905834976478,3.3302373694240686,13
Nonfrontal lobe,109,0.29276039984713365,0.16813188824897693,0.5933363354490241,12.88093732182848,19.509113852219325,0.42520444720004713,6.628176530390846,13
Frontal lobe,222,0.5161317935869684,0.26333252474390123,0.5022314550998996,15.117653134304502,18.585847219567814,0.2388989303559984,3.4681940852633115,14
Nonfrontal lobe,109,0.29904222415616644,0.17878878278906496,0.5976103456875373,13.191460434658492,19.59812418194719,0.4188215628984724,6.406663747288697,14
Frontal lobe,222,0.7640024140004156,0.34717165111060017,0.44563026909300046,16.548697667845722,17.924958944246768,0.0984586179824003,1.3762612764010456,15
Nonfrontal lobe,109,0.2278537524742719,0.12221366226990125,0.6194364368764916,11.45837048113479,19.694614401647307,0.49722277460659037,8.236243920512518,15
Frontal lobe,222,0.4184381616396576,0.10634703323434877,0.3915115876648893,12.804681175120715,17.688576197203556,0.28516455443054056,4.883895022082841,16
Nonfrontal lobe,109,0.19962092937155254,0.4633595109975635,0.8576503021020028,17.159859828809843,22.358082460214085,0.39429079110443926,5.198222631404242,16
Frontal lobe,222,0.5404862554541755,0.276161543656447,0.4988343574029621,15.295532096100198,18.51718229098689,0.2226728137465151,3.221650194886694,17
Nonfrontal lobe,109,0.37514016802831934,0.20487944175852082,0.5517156913234509,13.398382826667754,18.853355267190125,0.3468362495649301,5.45497244052237,17
Frontal lobe,222,0.45800652077995274,0.13910733273012843,0.40518058253232814,13.326498440996618,17.71063937286872,0.2660732498021997,4.384140931872102,18
Nonfrontal lobe,109,0.19791793165645677,0.4104593647816914,0.8384153449160376,16.24902341986062,22.102281534094157,0.4279559801343462,5.853258114233537,18
Frontal lobe,222,0.38982464708131065,0.1176679428516795,0.4342297168808775,12.987922898097963,18.17882784831027,0.31656177402919805,5.190904950212307,19
Nonfrontal lobe,109,0.32116423339618944,0.4572130169893724,0.7777539658953784,16.846307520971447,21.30329121493421,0.320540948906006,4.456983693962762,19
Frontal lobe,222,0.5563189666463175,0.2824331832922837,0.4949188075882011,15.430546442051412,18.487399169575976,0.21248562429591744,3.0568527275245643,20
Nonfrontal lobe,109,0.3101522954540949,0.18074747235399782,0.5882733617242157,13.014642417172388,19.381246497226876,0.40752588937021794,6.366604080054488,20
Frontal lobe,222,0.40413949773201585,0.12442340653732945,0.4307388858126902,13.030700130982583,18.067469077565804,0.30631547927536074,5.036768946583221,21
Nonfrontal lobe,109,0.28035952667105646,0.4298629994603959,0.7892245311924557,16.550874789455047,21.497756288765036,0.3593615317320598,4.946881499309988,21
Frontal lobe,222,0.48260724714054204,0.1982040259370641,0.45791125615212486,14.322752812450366,18.25751535248463,0.25970723021506076,3.9347625400342654,22
Nonfrontal lobe,109,0.27913561030401546,0.2841343186612101,0.7038157329099191,14.493339337534934,20.583969313070543,0.419681414248709,6.0906299755356095,22
